Regional Economy,Statistic,Value,Footnote,Year,Unit of Measure,Sustainable Development Goal,ADB Economy Code
Singapore,9.4.1 – Carbon Dioxide (CO2) Emissions,45.5,,2021,Million Metric Tons,9.4.1,SIN
Singapore,9.4.1 – Carbon Dioxide (CO2) Emissions,0.1,,2021,Per Unit of GDP (PPP),9.4.1,SIN
Solomon Islands,9.4.1 – Carbon Dioxide (CO2) Emissions,,,,Million Metric Tons,9.4.1,SOL
Solomon Islands,9.4.1 – Carbon Dioxide (CO2) Emissions,,,,Per Unit of GDP (PPP),9.4.1,SOL
Sri Lanka,9.4.1 – Carbon Dioxide (CO2) Emissions,21.1,,2021,Million Metric Tons,9.4.1,SRI
Sri Lanka,9.4.1 – Carbon Dioxide (CO2) Emissions,0.1,,2021,Per Unit of GDP (PPP),9.4.1,SRI
"Taipei,China",9.4.1 – Carbon Dioxide (CO2) Emissions,278.8,,2021,Million Metric Tons,9.4.1,TAP
"Taipei,China",9.4.1 – Carbon Dioxide (CO2) Emissions,0.2,,2021,Per Unit of GDP (PPP),9.4.1,TAP
Tajikistan,9.4.1 – Carbon Dioxide (CO2) Emissions,7.4,,2021,Million Metric Tons,9.4.1,TAJ
Tajikistan,9.4.1 – Carbon Dioxide (CO2) Emissions,0.2,,2021,Per Unit of GDP (PPP),9.4.1,TAJ
Thailand,9.4.1 – Carbon Dioxide (CO2) Emissions,234.7,,2021,Million Metric Tons,9.4.1,THA
Thailand,9.4.1 – Carbon Dioxide (CO2) Emissions,0.2,,2021,Per Unit of GDP (PPP),9.4.1,THA
Timor-Leste,9.4.1 – Carbon Dioxide (CO2) Emissions,,,,Million Metric Tons,9.4.1,TIM
Timor-Leste,9.4.1 – Carbon Dioxide (CO2) Emissions,,,,Per Unit of GDP (PPP),9.4.1,TIM
Tonga,9.4.1 – Carbon Dioxide (CO2) Emissions,,,,Million Metric Tons,9.4.1,TON
Tonga,9.4.1 – Carbon Dioxide (CO2) Emissions,,,,Per Unit of GDP (PPP),9.4.1,TON
Turkmenistan,9.4.1 – Carbon Dioxide (CO2) Emissions,59.2,,2021,Million Metric Tons,9.4.1,TKM
Turkmenistan,9.4.1 – Carbon Dioxide (CO2) Emissions,0.6,,2021,Per Unit of GDP (PPP),9.4.1,TKM
Tuvalu,9.4.1 – Carbon Dioxide (CO2) Emissions,,,,Million Metric Tons,9.4.1,TUV
Tuvalu,9.4.1 – Carbon Dioxide (CO2) Emissions,,,,Per Unit of GDP (PPP),9.4.1,TUV
Uzbekistan,9.4.1 – Carbon Dioxide (CO2) Emissions,116.1,,2021,Million Metric Tons,9.4.1,UZB
Uzbekistan,9.4.1 – Carbon Dioxide (CO2) Emissions,0.4,,2021,Per Unit of GDP (PPP),9.4.1,UZB
Vanuatu,9.4.1 – Carbon Dioxide (CO2) Emissions,,,,Million Metric Tons,9.4.1,VAN
Vanuatu,9.4.1 – Carbon Dioxide (CO2) Emissions,,,,Per Unit of GDP (PPP),9.4.1,VAN
Viet Nam,9.4.1 – Carbon Dioxide (CO2) Emissions,284.8,,2021,Million Metric Tons,9.4.1,VIE
Viet Nam,9.4.1 – Carbon Dioxide (CO2) Emissions,0.3,,2021,Per Unit of GDP (PPP),9.4.1,VIE
Afghanistan,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",73.3,,2022,"disbursements, constant 2021, $ million",9.a.1,AFG
Armenia,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",202.6,,2022,"disbursements, constant 2021, $ million",9.a.1,ARM
Azerbaijan,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",64.3,,2022,"disbursements, constant 2021, $ million",9.a.1,AZE
Bangladesh,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",3083.5,,2022,"disbursements, constant 2021, $ million",9.a.1,BAN
Bhutan,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",34.7,,2022,"disbursements, constant 2021, $ million",9.a.1,BHU
Brunei Darussalam,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",,,,"disbursements, constant 2021, $ million",9.a.1,BRU
Cambodia,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",554,,2022,"disbursements, constant 2021, $ million",9.a.1,CAM
"China, People's Republic of","9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",328.3,,2022,"disbursements, constant 2021, $ million",9.a.1,PRC
Cook Islands,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",4.9,,2019,"disbursements, constant 2021, $ million",9.a.1,COO
Fiji,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",14.7,,2022,"disbursements, constant 2021, $ million",9.a.1,FIJ
Georgia,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",192.5,,2022,"disbursements, constant 2021, $ million",9.a.1,GEO
"Hong Kong, China","9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",,,,"disbursements, constant 2021, $ million",9.a.1,HKG
India,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",4634.1,,2022,"disbursements, constant 2021, $ million",9.a.1,IND
Indonesia,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",738.6,,2022,"disbursements, constant 2021, $ million",9.a.1,INO
Kazakhstan,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",5.1,,2022,"disbursements, constant 2021, $ million",9.a.1,KAZ
Kiribati,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",26.4,,2022,"disbursements, constant 2021, $ million",9.a.1,KIR
"Korea, Republic of","9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",,,,"disbursements, constant 2021, $ million",9.a.1,KOR
Kyrgyz Republic,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",166.9,,2022,"disbursements, constant 2021, $ million",9.a.1,KGZ
Lao People's Democratic Republic,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",163.3,,2022,"disbursements, constant 2021, $ million",9.a.1,LAO
Malaysia,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",3.1,,2022,"disbursements, constant 2021, $ million",9.a.1,MAL
Maldives,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",52.7,,2022,"disbursements, constant 2021, $ million",9.a.1,MLD
Marshall Islands,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",26.8,,2022,"disbursements, constant 2021, $ million",9.a.1,RMI
"Micronesia, Federated States of","9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",12.7,,2022,"disbursements, constant 2021, $ million",9.a.1,FSM
Mongolia,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",82,,2022,"disbursements, constant 2021, $ million",9.a.1,MON
Myanmar,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",337.1,,2022,"disbursements, constant 2021, $ million",9.a.1,MYA
Nauru,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",12.2,,2022,"disbursements, constant 2021, $ million",9.a.1,NAU
Nepal,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",386.2,,2022,"disbursements, constant 2021, $ million",9.a.1,NEP
Niue,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",4.4,,2022,"disbursements, constant 2021, $ million",9.a.1,NIU
Pakistan,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",589.9,,2022,"disbursements, constant 2021, $ million",9.a.1,PAK
Palau,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",34.3,,2022,"disbursements, constant 2021, $ million",9.a.1,PAL
Papua New Guinea,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",244.3,,2022,"disbursements, constant 2021, $ million",9.a.1,PNG
Philippines,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",1395.6,,2022,"disbursements, constant 2021, $ million",9.a.1,PHI
Samoa,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",27.7,,2022,"disbursements, constant 2021, $ million",9.a.1,SAM
Singapore,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",,,,"disbursements, constant 2021, $ million",9.a.1,SIN
Solomon Islands,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",70,,2022,"disbursements, constant 2021, $ million",9.a.1,SOL
Sri Lanka,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",135.8,,2022,"disbursements, constant 2021, $ million",9.a.1,SRI
"Taipei,China","9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",,,,"disbursements, constant 2021, $ million",9.a.1,TAP
Tajikistan,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",274.8,,2022,"disbursements, constant 2021, $ million",9.a.1,TAJ
Thailand,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",273.8,,2022,"disbursements, constant 2021, $ million",9.a.1,THA
Timor-Leste,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",34.9,,2022,"disbursements, constant 2021, $ million",9.a.1,TIM
Tonga,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",31.4,,2022,"disbursements, constant 2021, $ million",9.a.1,TON
Turkmenistan,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",3.8,,2022,"disbursements, constant 2021, $ million",9.a.1,TKM
Tuvalu,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",10.9,,2022,"disbursements, constant 2021, $ million",9.a.1,TUV
Uzbekistan,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",548.4,,2022,"disbursements, constant 2021, $ million",9.a.1,UZB
Vanuatu,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",28.4,,2022,"disbursements, constant 2021, $ million",9.a.1,VAN
Viet Nam,"9.a.1 – Total Official Flows for Infrastructure, Official Development Assistance (ODA)",820.9,,2022,"disbursements, constant 2021, $ million",9.a.1,VIE
Afghanistan,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",0.1,,2022,"disbursements, constant 2021, $ million",9.a.1,AFG
Armenia,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",235.9,,2022,"disbursements, constant 2021, $ million",9.a.1,ARM
Azerbaijan,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",115.2,,2022,"disbursements, constant 2021, $ million",9.a.1,AZE
Bangladesh,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",1298.3,,2022,"disbursements, constant 2021, $ million",9.a.1,BAN
Bhutan,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",12.9,,2022,"disbursements, constant 2021, $ million",9.a.1,BHU
Brunei Darussalam,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",,,,"disbursements, constant 2021, $ million",9.a.1,BRU
Cambodia,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",93.8,,2022,"disbursements, constant 2021, $ million",9.a.1,CAM
"China, People's Republic of","9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",1247.9,,2022,"disbursements, constant 2021, $ million",9.a.1,PRC
Cook Islands,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",5.4,,2019,"disbursements, constant 2021, $ million",9.a.1,COO
Fiji,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",52.5,,2022,"disbursements, constant 2021, $ million",9.a.1,FIJ
Georgia,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",736.6,,2022,"disbursements, constant 2021, $ million",9.a.1,GEO
"Hong Kong, China","9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",,,,"disbursements, constant 2021, $ million",9.a.1,HKG
India,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",4068.4,,2022,"disbursements, constant 2021, $ million",9.a.1,IND
Indonesia,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",935.7,,2022,"disbursements, constant 2021, $ million",9.a.1,INO
Kazakhstan,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",773.7,,2022,"disbursements, constant 2021, $ million",9.a.1,KAZ
Kiribati,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",,,,"disbursements, constant 2021, $ million",9.a.1,KIR
"Korea, Republic of","9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",,,,"disbursements, constant 2021, $ million",9.a.1,KOR
Kyrgyz Republic,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",79.9,,2022,"disbursements, constant 2021, $ million",9.a.1,KGZ
Lao People's Democratic Republic,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",17,,2022,"disbursements, constant 2021, $ million",9.a.1,LAO
Malaysia,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",47.4,,2022,"disbursements, constant 2021, $ million",9.a.1,MAL
Maldives,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",13.4,,2022,"disbursements, constant 2021, $ million",9.a.1,MLD
Marshall Islands,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",166.8,,2022,"disbursements, constant 2021, $ million",9.a.1,RMI
"Micronesia, Federated States of","9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",0.2,,2019,"disbursements, constant 2021, $ million",9.a.1,FSM
Mongolia,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",165,,2022,"disbursements, constant 2021, $ million",9.a.1,MON
Myanmar,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",2.4,,2022,"disbursements, constant 2021, $ million",9.a.1,MYA
Nauru,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",,,,"disbursements, constant 2021, $ million",9.a.1,NAU
Nepal,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",46.4,,2022,"disbursements, constant 2021, $ million",9.a.1,NEP
Niue,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",,,,"disbursements, constant 2021, $ million",9.a.1,NIU
Pakistan,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",436.8,,2022,"disbursements, constant 2021, $ million",9.a.1,PAK
Palau,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",1.4,,2022,"disbursements, constant 2021, $ million",9.a.1,PAL
Papua New Guinea,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",390,,2022,"disbursements, constant 2021, $ million",9.a.1,PNG
Philippines,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",1094.3,,2022,"disbursements, constant 2021, $ million",9.a.1,PHI
Samoa,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",3,,2017,"disbursements, constant 2021, $ million",9.a.1,SAM
Singapore,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",,,,"disbursements, constant 2021, $ million",9.a.1,SIN
Solomon Islands,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",0.1,,2020,"disbursements, constant 2021, $ million",9.a.1,SOL
Sri Lanka,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",352.5,,2022,"disbursements, constant 2021, $ million",9.a.1,SRI
"Taipei,China","9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",,,,"disbursements, constant 2021, $ million",9.a.1,TAP
Tajikistan,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",105.9,,2022,"disbursements, constant 2021, $ million",9.a.1,TAJ
Thailand,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",50.7,,2022,"disbursements, constant 2021, $ million",9.a.1,THA
Timor-Leste,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",10.6,,2022,"disbursements, constant 2021, $ million",9.a.1,TIM
Tonga,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",,,,"disbursements, constant 2021, $ million",9.a.1,TON
Turkmenistan,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",336.8,,2022,"disbursements, constant 2021, $ million",9.a.1,TKM
Tuvalu,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",,,,"disbursements, constant 2021, $ million",9.a.1,TUV
Uzbekistan,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",960,,2022,"disbursements, constant 2021, $ million",9.a.1,UZB
Vanuatu,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",,,,"disbursements, constant 2021, $ million",9.a.1,VAN
Viet Nam,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",641.7,,2022,"disbursements, constant 2021, $ million",9.a.1,VIE
Afghanistan,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",92,,2022,%,9.c.1,AFG
Armenia,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",100,,2022,%,9.c.1,ARM
Australia,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99.8,,2022,%,9.c.1,AUS
Azerbaijan,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",100,,2022,%,9.c.1,AZE
Bangladesh,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99.6,,2022,%,9.c.1,BAN
Bhutan,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",98,,2022,%,9.c.1,BHU
Brunei Darussalam,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",98.6,,2022,%,9.c.1,BRU
Cambodia,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99.6,,2022,%,9.c.1,CAM
"China, People's Republic of","9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99.9,,2022,%,9.c.1,PRC
Cook Islands,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",100,,2021,%,9.c.1,COO
Fiji,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",98,,2021,%,9.c.1,FIJ
Georgia,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",100,,2022,%,9.c.1,GEO
"Hong Kong, China","9.c.1 – Proportion of Population Covered by Mobile Network, 2G",100,,2022,%,9.c.1,HKG
India,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99.2,,2022,%,9.c.1,IND
Indonesia,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",98.8,,2022,%,9.c.1,INO
Japan,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99.9,,2022,%,9.c.1,JPN
Kazakhstan,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99,,2022,%,9.c.1,KAZ
Kiribati,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",74,,2022,%,9.c.1,KIR
"Korea, Republic of","9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99.9,,2022,%,9.c.1,KOR
Kyrgyz Republic,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",98.8,,2022,%,9.c.1,KGZ
Lao People's Democratic Republic,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",95,,2021,%,9.c.1,LAO
Malaysia,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",98.6,,2022,%,9.c.1,MAL
Maldives,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",100,,2022,%,9.c.1,MLD
Marshall Islands,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",65,,2021,%,9.c.1,RMI
"Micronesia, Federated States of","9.c.1 – Proportion of Population Covered by Mobile Network, 2G",80,,2021,%,9.c.1,FSM
Mongolia,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",100,,2022,%,9.c.1,MON
Myanmar,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",96,,2022,%,9.c.1,MYA
Nauru,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",98,,2021,%,9.c.1,NAU
Nepal,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",93,,2021,%,9.c.1,NEP
New Zealand,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",98.5,,2022,%,9.c.1,NZL
Niue,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",,,,%,9.c.1,NIU
Pakistan,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",89.4,,2022,%,9.c.1,PAK
Palau,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",98,,2022,%,9.c.1,PAL
Papua New Guinea,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",89,,2021,%,9.c.1,PNG
Philippines,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99,,2021,%,9.c.1,PHI
Samoa,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99,,2022,%,9.c.1,SAM
Singapore,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",100,,2022,%,9.c.1,SIN
Solomon Islands,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",95,,2021,%,9.c.1,SOL
Sri Lanka,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99,,2022,%,9.c.1,SRI
"Taipei,China","9.c.1 – Proportion of Population Covered by Mobile Network, 2G",100,,2022,%,9.c.1,TAP
Tajikistan,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",90,,2021,%,9.c.1,TAJ
Thailand,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",98.8,,2022,%,9.c.1,THA
Timor-Leste,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",96.5,,2022,%,9.c.1,TIM
Tonga,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99,,2021,%,9.c.1,TON
Turkmenistan,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",98,,2022,%,9.c.1,TKM
Tuvalu,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",50,,2021,%,9.c.1,TUV
Uzbekistan,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99.5,,2022,%,9.c.1,UZB
Vanuatu,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",90,,2022,%,9.c.1,VAN
Viet Nam,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99.9,,2022,%,9.c.1,VIE
Afghanistan,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",58,,2021,%,9.c.1,AFG
Armenia,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",100,,2022,%,9.c.1,ARM
Australia,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",99.8,,2022,%,9.c.1,AUS
Azerbaijan,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",99.8,,2022,%,9.c.1,AZE
Bangladesh,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",98.5,,2022,%,9.c.1,BAN
Bhutan,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",97,,2022,%,9.c.1,BHU
Brunei Darussalam,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",98.6,,2022,%,9.c.1,BRU
Cambodia,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",92.1,,2022,%,9.c.1,CAM
"China, People's Republic of","9.c.1 – Proportion of Population Covered by Mobile Network, 3G",99.9,,2022,%,9.c.1,PRC
Cook Islands,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",55,,2021,%,9.c.1,COO
Fiji,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",96,,2021,%,9.c.1,FIJ
Georgia,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",100,,2022,%,9.c.1,GEO
"Hong Kong, China","9.c.1 – Proportion of Population Covered by Mobile Network, 3G",99,,2022,%,9.c.1,HKG
India,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",98.8,,2022,%,9.c.1,IND
Indonesia,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",96.5,,2022,%,9.c.1,INO
Japan,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",99.9,,2022,%,9.c.1,JPN
Kazakhstan,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",97.7,,2022,%,9.c.1,KAZ
Kiribati,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",73,,2022,%,9.c.1,KIR
"Korea, Republic of","9.c.1 – Proportion of Population Covered by Mobile Network, 3G",99.9,,2022,%,9.c.1,KOR
Kyrgyz Republic,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",98,,2022,%,9.c.1,KGZ
Lao People's Democratic Republic,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",85,,2021,%,9.c.1,LAO
Malaysia,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",96.9,,2022,%,9.c.1,MAL
Maldives,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",100,,2022,%,9.c.1,MLD
Marshall Islands,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",,,,%,9.c.1,RMI
"Micronesia, Federated States of","9.c.1 – Proportion of Population Covered by Mobile Network, 3G",15,,2021,%,9.c.1,FSM
Mongolia,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",100,,2022,%,9.c.1,MON
Myanmar,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",95.4,,2022,%,9.c.1,MYA
Nauru,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",98,,2021,%,9.c.1,NAU
Nepal,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",54.1,,2021,%,9.c.1,NEP
New Zealand,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",98.5,,2022,%,9.c.1,NZL
Niue,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",60,,2021,%,9.c.1,NIU
Pakistan,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",79.9,,2022,%,9.c.1,PAK
Palau,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",89,,2022,%,9.c.1,PAL
Papua New Guinea,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",64.4,,2021,%,9.c.1,PNG
Philippines,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",96,,2021,%,9.c.1,PHI
Samoa,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",99,,2022,%,9.c.1,SAM
Singapore,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",100,,2022,%,9.c.1,SIN
Solomon Islands,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",45,,2021,%,9.c.1,SOL
Sri Lanka,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",97,,2022,%,9.c.1,SRI
"Taipei,China","9.c.1 – Proportion of Population Covered by Mobile Network, 3G",100,,2022,%,9.c.1,TAP
Tajikistan,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",90,,2021,%,9.c.1,TAJ
Thailand,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",98.8,,2022,%,9.c.1,THA
Timor-Leste,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",96.5,,2022,%,9.c.1,TIM
Tonga,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",99,,2021,%,9.c.1,TON
Turkmenistan,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",75.8,,2021,%,9.c.1,TKM
Tuvalu,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",48,,2021,%,9.c.1,TUV
Uzbekistan,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",96,,2022,%,9.c.1,UZB
